90 1 90 0 654
90 2 179 1 703
90 3 267 93 695
90 4 354 126 712
90 5 440 188 698
90 6 525 225 728
90 7 609 248 718
90 8 692 265 722
90 9 774 293 728
90 10 855 329 746
90 11 935 359 748
90 12 1014 356 759
90 13 1092 353 754
90 14 1169 377 759
90 15 1245 399 766
90 16 1320 407 774
90 17 1394 421 772
90 18 1467 441 794
90 19 1539 457 792
90 20 1610 477 795
90 21 1680 489 809
90 22 1749 499 804
90 23 1817 490 827
90 24 1884 502 837
90 25 1950 515 831
90 26 2015 528 838
90 27 2079 543 852
90 28 2142 556 860
90 29 2204 564 866
90 30 2265 566 864
90 31 2325 573 869
90 32 2384 586 870
90 33 2442 598 875
90 34 2499 617 888
90 35 2555 633 894
90 36 2610 628 914
90 37 2664 644 909
90 38 2717 656 933
90 39 2769 671 929
90 40 2820 684 942
90 41 2870 675 953
90 42 2919 697 957
90 43 2967 704 960
90 44 3014 712 966
90 45 3060 721 983
90 46 3105 733 984
90 47 3149 740 992
90 48 3192 746 1003
90 49 3234 761 1015
90 50 3275 763 1009
90 51 3315 781 1022
90 52 3354 786 1027
90 53 3392 807 1045
90 54 3429 810 1049
90 55 3465 817 1057
90 56 3500 830 1067
90 57 3534 833 1073
90 58 3567 844 1085
90 59 3599 843 1084
90 60 3630 859 1094
90 61 3660 862 1090
90 62 3689 873 1108
90 63 3717 880 1116
90 64 3744 890 1125
90 65 3770 904 1135
90 66 3795 912 1139
90 67 3819 918 1147
90 68 3842 923 1147
90 69 3864 934 1164
90 70 3885 944 1175
90 71 3905 961 1188
90 72 3924 965 1189
90 73 3942 981 1205
90 74 3959 982 1194
90 75 3975 998 1222
90 76 3990 1004 1226
90 77 4004 1015 1232
90 78 4017 1023 1239
90 79 4029 1035 1253
90 80 4040 1045 1259
90 81 4050 1045 1264
90 82 4059 1057 1267
90 83 4067 1069 1274
90 84 4074 1082 1295
90 85 4080 1089 1300
90 86 4085 1104 1297
90 87 4089 1110 1314
90 88 4092 1106 1299
90 89 4094 1134 1336
90 90 4095 1133 1339
