0	0	0	0
0	0	0	0
1	1	1	1
2	3	2	2
6	4	4	3
8	7	6	4
9	12	9	5
12	15	11	6
16	14	15	7
29	22	18	8
22	22	23	9
28	31	27	10
26	28	33	11
35	31	38	12
46	50	45	13
48	46	51	14
48	53	59	15
52	68	66	16
65	65	75	17
56	58	83	18
62	66	93	19
72	75	102	20
110	68	113	21
90	70	123	22
86	85	135	23
102	100	146	24
125	94	159	25
110	121	171	26
109	136	185	27
121	112	198	28
149	111	213	29
186	123	227	30
190	162	243	31
133	147	258	32
147	169	275	33
129	188	291	34
168	153	309	35
187	165	326	36
152	173	345	37
179	193	363	38
193	198	383	39
188	175	402	40
209	211	423	41
223	167	443	42
208	273	465	43
243	212	486	44
202	261	509	45
257	272	531	46
230	256	555	47
268	238	578	48
285	254	603	49
253	230	627	50
291	292	653	51
278	278	678	52
275	263	705	53
284	286	731	54
310	346	759	55
343	328	786	56
299	301	815	57
323	384	843	58
322	335	873	59
306	368	902	60
352	386	933	61
322	401	963	62
376	373	995	63
351	395	1026	64
348	337	1059	65
373	389	1091	66
422	346	1125	67
366	341	1158	68
408	445	1193	69
371	430	1227	70
490	451	1263	71
461	437	1298	72
436	458	1335	73
409	444	1371	74
547	440	1409	75
419	447	1446	76
420	478	1485	77
460	460	1523	78
548	507	1563	79
485	492	1602	80
440	564	1643	81
547	490	1683	82
452	534	1725	83
611	491	1766	84
481	502	1809	85
517	485	1851	86
477	472	1895	87
514	500	1938	88
592	597	1983	89
602	546	2027	90
610	508	2073	91
571	571	2118	92
577	516	2165	93
524	632	2211	94
593	580	2259	95
596	631	2306	96
649	643	2355	97
665	574	2403	98
618	595	2453	99
